"materi_id";"nama_event";"judul_materi";"materi_file"
"3";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Undangan Rakernas 2022";"../admin/materi_event/UNDANGAN RAKER REV RUNDOWN v4.pdf"
"4";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Presentasi ME";"../admin/materi_event/Presentasi ME.pptx"
"5";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Presentasi SPI";"../admin/materi_event/Rakernas 30 Maret 2022.pptx"
"6";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Presentasi RM Yuardi Hendrastiawan";"../admin/materi_event/REVISI - Materi Presentasi RM Yuardi Hendrastiawan.pdf"
"7";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Presentasi I Wayan Sukerata (GM Keuangan & TI)";"../admin/materi_event/Present Keuangan.pptx"
"8";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Presentasi GM Outsourcing";"../admin/materi_event/Materi Rakernas OJP 2022.pdf"
"9";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Presentasi Direktur";"../admin/materi_event/SPEECH DIREKTUR RAKERNAS 29 March 2022.pdf"
"10";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Presentasi Direktur Utama";"../admin/materi_event/Speech Direktur Utama Rakernas 2022.pdf"
"12";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Presentasi Komisaris Utama";"../admin/materi_event/Sambutan Komisaris.pdf"
"13";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Presentasi GM Rental dan Usla";"../admin/materi_event/GM Rental dan Usla.pdf"
"14";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Presentasi Divisi SDM & Logistik";"../admin/materi_event/Presentasi Divisi SDM & Logistik Tahun 2022.pptx"
"15";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Presentasi Divisi TI";"../admin/materi_event/Presentasi Div TI.pptx"
"16";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Presentasi Leadership";"../admin/materi_event/LEADERSHIP SESSION for PT. POJ.pdf"
"17";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Undangan Rakernas 2022";"../admin/materi_event/GRN Skenario - Item Service.pdf"
